Seg,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
28,0,4,24.257708,21.557709,21.557709,40,3.40E+38,3.40E+38,0,2.275,0,0,23.832708,414.4257
29,0,4,24.112265,21.55771,21.55771,46.214584,3.40E+38,3.40E+38,0,0,0,0,21.55771,447.41315
30,0,4,104.99765,15.643127,15.643127,20,3.40E+38,3.40E+38,3.7854166,9.700001,0,0,25.343128,582.52454
31,0,4,45.064095,15.643127,15.643127,28.64875,3.40E+38,3.40E+38,0,0,0,0,15.643127,153.17464
32,0,4,60.950737,15.852711,15.852711,20,3.40E+38,3.40E+38,1.3512499,1.1416668,0,0,16.994377,323.58148
33,0,4,5.996317,15.852711,15.852711,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,15.852711,150.13567
0,0,5,37.08874,14.279166,14.279166,30,3.40E+38,3.40E+38,0,0,0,0,14.279166,362.9521
1,0,5,14.839179,13.995832,13.995832,30,3.40E+38,3.40E+38,0,0.28333333,0,0,14.279166,362.9521
2,0,5,14.702054,12.570833,12.570833,30,3.40E+38,3.40E+38,0,1.425,0,0,13.995833,367.06042
3,0,5,6.9792604,12.570834,12.570834,28.420834,3.40E+38,3.40E+38,0,0,0,0,12.570834,387.72296
4,0,5,13.083909,14.150001,14.150001,23.779167,3.40E+38,3.40E+38,1.5791667,0,0,0,14.150001,364.82504
5,0,5,19.263824,20.370834,20.370834,40,3.40E+38,3.40E+38,6.2208333,0,0,0,20.370834,274.62292
6,0,5,3.3109703,20.370834,20.370834,40,3.40E+38,3.40E+38,0,0,0,0,20.370834,464.62292
7,0,5,17.378654,19.579168,19.579168,40,3.40E+38,3.40E+38,0,0.7916667,0,0,20.370834,464.62292
8,0,5,5.212635,19.579168,19.579168,46.4269,3.40E+38,3.40E+38,0,0,0,0,19.579168,476.10208
9,0,5,66.11821,21.000002,21.000002,40,3.40E+38,3.40E+38,2.225,0.80416673,0,0,21.804169,625.07904
10,0,5,5.8671284,21.000002,21.000002,42.940304,3.40E+38,3.40E+38,0,0,0,0,21.000002,455.5
11,0,5,28.244541,23.428545,23.428545,40,3.40E+38,3.40E+38,3.0618749,0.6333334,0,0,24.061878,570.7819
12,0,5,6.358021,23.428545,23.428545,43.392796,3.40E+38,3.40E+38,0,0,0,0,23.428545,420.28616
13,0,5,65.34808,17.96917,17.96917,40,3.40E+38,3.40E+38,2.803125,8.262501,0,0,26.23167,538.3195
14,0,5,18.669266,17.96917,17.96917,38.260624,3.40E+38,3.40E+38,0,0,0,0,17.96917,499.44708
15,0,5,14.456165,19.708544,19.708544,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,0,19.708544,474.22617
16,0,5,25.028734,21.213127,21.213127,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213127,642.4097
17,0,5,9.545906,21.213127,21.213127,50,3.40E+38,3.40E+38,0,0,0,0,21.213127,642.4097
18,0,5,20.662136,19.892294,19.892294,40,3.40E+38,3.40E+38,0,1.3208334,0,0,21.213127,642.4097
19,0,5,21.954327,18.842297,18.842297,40,3.40E+38,3.40E+38,0,1.05,0,0,19.892296,471.5618
20,0,5,19.209347,18.842297,18.842297,37.920418,3.40E+38,3.40E+38,0,0,0,0,18.842297,486.7868
21,0,5,22.063576,20.921879,20.921879,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921879,456.6328
22,0,5,8.155506,20.921879,20.921879,40,3.40E+38,3.40E+38,0,0,0,0,20.921879,456.6328
23,0,5,20.999,19.788546,19.788546,40,3.40E+38,3.40E+38,0,1.1333334,0,0,20.921879,456.6328
24,0,5,16.447618,19.788546,19.788546,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.788546,473.06613
25,0,5,20.740091,22.601254,22.601254,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.601254,432.2819
26,0,5,25.373825,23.832712,23.832712,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832712,414.42572
27,0,5,104.60238,23.832712,23.832712,40,3.40E+38,3.40E+38,0,0,0,0,23.832712,414.42572
28,0,5,24.257708,21.557713,21.557713,40,3.40E+38,3.40E+38,0,2.2750003,0,0,23.832712,414.42572
29,0,5,24.112263,21.557713,21.557713,46.214584,3.40E+38,3.40E+38,0,0,0,0,21.557713,447.41318
30,0,5,104.99765,15.643127,15.643127,20,3.40E+38,3.40E+38,3.7854166,9.700001,0,0,25.343128,582.52466
31,0,5,45.064095,15.643127,15.643127,28.64875,3.40E+38,3.40E+38,0,0,0,0,15.643127,153.17465
32,0,5,60.950737,15.852711,15.852711,20,3.40E+38,3.40E+38,1.3512499,1.1416668,0,0,16.994377,323.58154
33,0,5,5.996317,15.852711,15.852711,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,15.852711,150.1357
0,0,6,37.08874,14.279166,14.279166,30,3.40E+38,3.40E+38,0,0,0,0,14.279166,362.9521
1,0,6,14.839179,13.995832,13.995832,30,3.40E+38,3.40E+38,0,0.28333333,0,0,14.279166,362.9521
2,0,6,14.702055,12.570832,12.570832,30,3.40E+38,3.40E+38,0,1.425,0,9.54E-07,13.995832,367.06042
3,0,6,6.9792604,12.570832,12.570832,28.420834,3.40E+38,3.40E+38,0,0,0,0,12.570832,387.7229
4,0,6,13.083909,14.149999,14.149999,23.779167,3.40E+38,3.40E+38,1.5791667,0,0,0,14.149999,364.82498
5,0,6,19.263823,20.370832,20.370832,40,3.40E+38,3.40E+38,6.2208333,0,0,0,20.370832,274.62292
6,0,6,3.3109703,20.370832,20.370832,40,3.40E+38,3.40E+38,0,0,0,0,20.370832,464.6229
7,0,6,17.378656,19.579166,19.579166,40,3.40E+38,3.40E+38,0,0.7916666,0,0,20.370832,464.6229
8,0,6,5.212635,19.579166,19.579166,46.4269,3.40E+38,3.40E+38,0,0,0,0,19.579166,476.10205
9,0,6,66.11821,21,21,40,3.40E+38,3.40E+38,2.225,0.8041667,0,0,21.804167,625.079
10,0,6,5.8671284,21,21,42.940304,3.40E+38,3.40E+38,0,0,0,0,21,455.49997
11,0,6,28.244541,23.428541,23.428541,40,3.40E+38,3.40E+38,3.0618749,0.63333327,0,0,24.061874,570.7818
12,0,6,6.358021,23.428541,23.428541,43.392796,3.40E+38,3.40E+38,0,0,0,0,23.428541,420.2861
13,0,6,65.34808,17.969166,17.969166,40,3.40E+38,3.40E+38,2.803125,8.2625,0,0,26.231667,538.31946
14,0,6,18.669266,17.969166,17.969166,38.260624,3.40E+38,3.40E+38,0,0,0,0,17.969166,499.44705
15,0,6,14.456165,19.70854,19.70854,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,0,19.70854,474.22614
16,0,6,25.028734,21.213123,21.213123,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213123,642.40967
17,0,6,9.545906,21.213123,21.213123,50,3.40E+38,3.40E+38,0,0,0,0,21.213123,642.40967
18,0,6,20.662136,19.89229,19.89229,40,3.40E+38,3.40E+38,0,1.3208331,0,0,21.213123,642.40967
19,0,6,21.954329,18.84229,18.84229,40,3.40E+38,3.40E+38,0,1.0499998,0,1.91E-06,19.89229,471.5617
20,0,6,19.209345,18.84229,18.84229,37.920418,3.40E+38,3.40E+38,0,0,0,0,18.84229,486.78668
21,0,6,22.063576,20.921875,20.921875,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921875,456.63275
22,0,6,8.155506,20.921875,20.921875,40,3.40E+38,3.40E+38,0,0,0,0,20.921875,456.63275
23,0,6,20.999,19.788542,19.788542,40,3.40E+38,3.40E+38,0,1.1333332,0,0,20.921875,456.63275
24,0,6,16.447618,19.788542,19.788542,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.788542,473.0661
25,0,6,20.740091,22.60125,22.60125,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.60125,432.28183
26,0,6,25.373825,23.832708,23.832708,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832708,414.4257
27,0,6,104.60238,23.832708,23.832708,40,3.40E+38,3.40E+38,0,0,0,0,23.832708,414.4257
28,0,6,24.257708,21.557709,21.557709,40,3.40E+38,3.40E+38,0,2.275,0,0,23.832708,414.4257
